Zip Code,Median Listing Price
30002,471051.13
30021,173850.02
30030,543086.43
30032,199598.1
30033,399555.1
30067,503561.93
30079,290436.33
30080,406567.12
30084,264960.69
30303,189277.35
30304, null - > done
30305,694852.03
30306,831802.77
30307,575179.89
30308,369375
30309,524755.42
30310,186579.06
30311,185791.89
30312,385575.16
30313, null - > done
30314,122646.58
30315,141030.74
30316,316203.24
30317,456695.91
30318,332885.24
30319,643105.39
30320, null - > done
30322, null - > done
30324,531648.79
30326,488540.42
30327,1470648.89
30328,529897.09
30329,498811.29
30331, null - > done
30334, null - > done
30336, null - > done
30337,291633.62
30338,502983.24
30339,436292.43
30340,292855.58
30341,427213.13
30342,829783.43
30344,153352.58
30345,482385.54
30346,411749.2
30349, null - > done
30350, null - > done
30354,155386.06
30360,388613.8
30363,328156.11